 ,Weekly_Sales
261973,49095.32889999999
261974,223.61419999999976
261975,13387.9076
261976,8190.261900000003
261977,41863.25889999998
261978,966.8273000000014
261979,52349.43940000001
261980,2219.2613999999976
261981,2803.4053000000004
261982,2524.741100000001
261983,4580.970099999997
261984,8089.852100000003
261985,9490.2663
261986,994.5789000000004
261987,1443.4146000000003
261988,31064.247600000017
261989,5041.726699999997
261990,28060.21690000001
261991,1014.4719
261992,17416.242200000015
261993,7505.519599999999
261994,31296.61250000001
261995,823.7516000000002
261996,8495.520300000002
261997,4741.410600000002
261998,491.7734000000004
261999,4561.5849
262000,33643.53909999999
262001,30534.830399999995
262002,3756.9777999999937
262003,45769.74289999995
262004,24786.590900000003
262005,3089.2082999999984
262006,8539.219799999999
262007,5717.0013
262008,25779.01670000001
262009,2488.884100000001
262010,2.110200000000001
262011,1660.464900000001
262012,1509.9677
262013,11970.440900000003
262014,2105.7375
262015,8991.559600000002
262016,42495.05119999997
262017,946.567
262018,4251.036499999998
262019,266.35010000000005
262020,62940.35430000004
262021,2716.3562
262022,34664.42789999999
262023,23002.19319999998
262024,20291.89769999997
262025,10264.918700000002
262026,283.6788
262027,20709.1765
262028,4118.124699999999
262029,1987.8555
262030,25358.27710000001
262031,20786.087699999996
262032,447.4832999999999
262033,3852.353500000001
262034,15838.116399999994
262035,18256.829399999984
262036,23680.66590000001
262037,4080.4156000000007
262038,5954.987300000003
262039,170.2599
262040,249.7875000000001
262041,11220.139999999996
262042,1305.7805000000003
262043,414.5534000000001
262044,13444.8689
262045,4475.349899999997
262046,1725.3288000000002
262047,185.3431
262048,547.4775
262049,838.8475000000002
262050,2565.845100000001
262051,1713.4551000000006
262052,587.9567999999999
262053,19116.527400000024
262054,4252.904400000001
262055,19231.7987
262056,15463.692200000018
262057,6048.968699999999
262058,12.1358
262059,468.7880000000002
262060,7656.750400000008
262061,7724.499000000006
262062,1559.3659000000005
262063,2085.8386
262064,8947.302
262065,21671.0517
262066,2283.192500000001
262067,34506.132799999985
262068,15541.968800000004
262069,3183.219099999997
262070,8845.830500000002
262071,39846.13019999998
262072,5723.931500000002
262073,14501.767900000004
262074,84.8175
262075,10277.388100000004
262076,3020.483599999997
262077,7754.326300000003
262078,301.99
262079,15515.287700000012
262080,56221.710100000026
262081,11894.077500000005
262082,3571.3880000000017
262083,2175.7837999999983
262084,2197.4288
262085,8218.337700000004
262086,1121.5942000000005
262087,58604.56309999995
262088,39722.957200000055
262089,3881.125900000001
262090,6642.175200000001
262091,94.0759
262092,7484.858400000001
262093,2749.254399999997
262094,3183.345000000001
262095,65966.97050000001
262096,2940.819599999999
262097,17406.23230000001
262098,2120.211199999997
262099,14040.194299999996
262100,16104.700699999994
262101,14332.451600000008
262102,3682.3607999999977
262103,3549.0855
262104,28352.19660000001
262105,3111.2445
262106,3571.1801
262107,8097.694899999994
262108,16187.185700000007
262109,26107.14550000001
262110,57.86550000000005
262111,38109.5838
262112,4939.2264000000005
262113,1870.076300000002
262114,405.38550000000015
262115,1836.5979999999995
262116,570.6475999999993
262117,2971.1077999999998
262118,35034.998000000014
262119,2288.482199999998
262120,23033.204099999995
262121,8840.240200000002
262122,52034.7157
262123,576.4321000000004
262124,54432.05679999999
262125,4210.3545
262126,24918.55269999998
262127,3416.0931000000005
262128,70.0584
262129,4041.897000000001
262130,764.0732
262131,923.9765000000002
262132,2981.5145000000007
262133,782.1333
262134,3951.006900000002
262135,1811.6506999999997
262136,28422.682199999985
262137,1393.1915
262138,413.1546
262139,10924.16040000001
262140,9375.434199999996
262141,1672.6080000000004
262142,22408.701800000006
262143,6954.278700000001
262144,12291.9562
262145,8506.954299999998
262146,12620.3186
262147,2336.855600000001
262148,31994.909800000023
262149,2133.7287
262150,3660.9266000000016
262151,13768.419400000006
262152,1125.1898000000008
262153,8369.481399999995
262154,12930.846200000013
262155,38.77909999999999
262156,10.248300000000004
262157,3913.121799999998
262158,10067.570199999998
262159,48.83200000000001
262160,449.8400000000004
262161,9705.916100000002
262162,227.93439999999987
262163,2398.8663
262164,6101.629600000001
262165,54200.98030000001
262166,86.7059
262167,336.64789999999977
262168,4009.679999999997
262169,11735.6153
262170,8081.5899
262171,131.08759999999998
262172,63119.518399999935
262173,9468.280700000008
262174,19255.74750000001
262175,62.5638
262176,20293.4737
